Month,Facebook,Facebook Live,Facebook Shopify,Instagram,Line,Lazada,Shopee Live,Shopee,Tiktok Affiliate,Tiktok Live,Tiktok Tiktokshop,Web Opdapp,Web,Youtube Shopify,Store,Total
Jan,403880,0,0,17684,4093,15483.65,180420,414432,1283967.74,148352.4,512751.67,1436,1560,0,0,2984060.46
Feb,850477,0,0,40018,6163,22579.43,329667,742249,1566623.19,75449.31,788152.4,2094,1995,18607,0,4444074.33
Mar,1109321,1353,567,64474,4434,27976.57,365739,686050,1390313.13,33395.71,565736.4,1675,668,82427,280909,4615038.81
Apr,699633,0,0,39238,990,19337.86,170691,659223,1269359.06,113065.86,604378.69,1017,399,61778,256316,3895426.47
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,3063311,1353,567,161414,15680,85377.51,1046517,2501954,5510263.119999999,370263.27999999997,2471019.16,6222,4622,162812,537225,15938600.07
