Product,Sub Product,Ads Cost,Ads FB MSG,Ads FB Salepage,Ads Tiktok Ads,Ads Tiktok Aff,Ads Shopify,Ads Shopee,Ads Lazada,Ads Website,Ads Instagram,Ads Line,Sale Total,Sale FB MSG,Sale FB Salepage,Sale Tiktok,Sale Tiktok Aff,Sale Shopee,Sale Lazada,Sale Shopify,Sale Line,Sale Instagram,Sale Website,% Ads,% Ads FB MSG,% Ads FB Salepage,% Ads Tiktok Ads,% Ads Tiktok Aff,% Ads Shopify,% Ads Shopee,% Ads Lazada,% Ads Website,% Ads Instagram,% Ads Line,วันที่
[หนังสือ] ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,[หนังสือ] ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,527.1,0,0,172.23,354.87,0,0,0,0,0,0,668,0,0,351,0,317,0,0,0,0,0,78.91,0,0,49.07,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,[หนังสือ] BOXSET ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] เมื่อโลกทั้งใบซ่อนอยู่ใต้หมวกกันน็อก (HELMET GIRL),[หนังสือ] เมื่อโลกทั้งใบซ่อนอยู่ใต้หมวกกันน็อก (HELMET GIRL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] เมื่อโลกทั้งใบซ่อนอยู่ใต้หมวกกันน็อก (HELMET GIRL),*OPD [E-BOOK] เมื่อโลกทั้งใบซ่อนอยู่ใต้หมวกกันน็อก (HELMET GIRL),0,0,0,0,0,0,0,0,0,0,0,179,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] เมื่อโลกทั้งใบซ่อนอยู่ใต้หมวกกันน็อก (HELMET GIRL),[หนังสือ] BOXSET เมื่อโลกทั้งใบซ่อนอยู่ใต้หมวกกันน็อก (HELMET GIRL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] วันไหนที่ใจแข็งแรง ดอกไม้จะผลิบาน THE ENCHANTED GARDEN,[หนังสือ] วันไหนที่ใจแข็งแรง ดอกไม้จะผลิบาน THE ENCHANTED GARDEN,670.98,0,0,181.11,489.87,0,0,0,0,0,0,2027,0,0,651,1376,0,0,0,0,0,0,33.1,0,0,27.82,35.6,0,0,0,0,0,0,2026-02-23
[หนังสือ] วันไหนที่ใจแข็งแรง ดอกไม้จะผลิบาน THE ENCHANTED GARDEN,*OPD [E-BOOK] วันไหนที่ใจแข็งแรง ดอกไม้จะผลิบาน THE ENCHANTED GARDEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] วันไหนที่ใจแข็งแรง ดอกไม้จะผลิบาน THE ENCHANTED GARDEN,[หนังสือ] สวนของหัวใจ BLOSSOMS OF THE SOUL’S GARDEN,0,0,0,0,0,0,0,0,0,0,0,621,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ยินดีต้อนรับและขอบคุณที่กลับมา,[หนังสือ] ยินดีต้อนรับและขอบคุณที่กลับมา,306.78,0,0,265.19,41.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,*OPD [E-BOOK] ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
