creator,tiktok_video_id,date_posted,product,gross_revenue,sku_orders,cost,roi,video_title
มิ้น,7602199520134368533,2026-02-02,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),52590.38,151,23096.26,2.28,“มนุษย์ที่เป็นคนดีมักจะรู้สึกผิด” แรงบันดาลใจในการเขียนหนังสือ #กับดักความรู้สึกผิด #หมอทานตะวัน   หนังสือที่ช่วยให้เราเปลี่ยน  “ความรู้สึกผิด” ให้กลายเป็น  พลังที่ทำให้เรา “ไม่กลับมาทำพลาดอีก” :)  #opendurianhowto #เล่มใหม่ #books  
ไม่ระบุ,7604822252533681428,2026-02-09,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),37756.15,110,10549.07,3.57,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน)
ไม่ระบุ,7615196438942862613,2026-03-09,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),26537.75,74,8898.97,2.99,❤️‍🩹 เกิดภาวะ “ซึมเศร้า”  เพราะรู้สึกผิดโดยไม่รู้ตัว . . . . 💬 มองตัวเองในแง่ลบเกินไป   💬 มักชอบโทษตัวเองเกินจริง    . 📖 หนังสือเล่มนี้ ที่หมอแนะนำให้เป็นเพื่อนคุณ   จะช่วยให้ได้ดูแลจิตใจตัวเอง และดึงสติ  ให้เราได้กลับมารัก และเมตตาตัวเองอีกครั้ง    . 💬 มาฟังคำแนะนำจากคุณหมอไปพร้อมกัน 👩‍⚕️ ในบทสัมภาษณ์จาก ‘คุณหมอทานตะวัน’ (ผศ.พญ.ทานตะวัน อวิรุทธ์วรกุล) . 🩺 ผศ.ด้านจิตเวชศาสตร์ คณะแพทยศาสตร์ โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล ที่มีประสบการณ์มายาวนานกว่า 20 ปี     . 🩵 เจ้าของเพจ ‘ยิ่งโตยิ่งสุขโดย พญ.ทานตะวัน’ สู่แรงบันดาลใจในการเขียนหนังสือเล่มใหม่ล่าสุด ✨  หนังสือ “กับดักความรู้สึกผิด” 📖 .  ❤️‍🩹 หนังสือเล่มนี้ จะช่วยให้คุณได้เยียวยา  ก้าวข้ามความรู้สึกผิด ปลดล็อกปมในใจ เห็นประตูสู่การให้อภัย และเติบโตอย่างแท้จริง . ⚠️ ผ่านการรวบรวมเรื่องราวสำคัญกว่า 7 บท    🗒️ เนื้อหาอ่านง่าย มาพร้อมภาพประกอบการอธิบาย 🗒️ สอดแทรก Case Studies ตัวอย่างจริงให้เราเข้าใจ . ✔︎ ก้าวข้ามความรู้สึกผิดได้ผ่านแนวคิดจิตวิทยา ✔︎ เข้าใจที่มาและเรียนรู้รับมือกับความรู้สึกผิดได้ถูกวิธี  ✔︎ ปรับความคิดและดูแลใจเมื่อความรู้สึกผิดเกิดขึ้น ✔︎ ปลดล็อกปมในใจ ก้าวสู่การให้อภัยและการเติบโต .  📖 หนังสือ “กับดักความรู้สึกผิด” ⚠️ แถมฟรี ที่คั่นหนังสือ 1 ชิ้น    . 📌 สนใจสั่งซื้อกดตะกร้าหน้าคลิปได้เลย . #กับดักความรู้สึกผิด #TheGuiltTrap #หมอทานตะวัน #opendurianhowto #opendurianbooks 
ริว,7533553000766541074,2025-08-01,หนังสือ Ghostly Brews ยินดีบริการดวงวิญญาณหลังเที่ยงคืน by หมึกซึม,21883.62,72,12735.24,1.72,อยู่คนเดียว…แบบมีความสุขได้ยังไง? #opendurianbooks #opendurianhowto #หนังสือ #หนังสือghostlybrews #GhostlyBrews #ยินดีบริการดวงวิญญาณหลังเที่ยงคืน #หมึกซึม #comic #หนังสือการ์ตูน #หนังสือฮีลใจ #หนังสือพัฒนาตัวเอง 
ริว,7540980278643232018,2025-08-21,[สุดคุ้ม] หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fight the Demons in My Heart,18286.51,64,8340.82,2.19,📙 ประโยคที่อ่านแล้วจริงมาก ๆ 🫵🏻😤 #opendurianhowto #opendurianbooks #ปีศาจตัวนั้นคือฉันเอง #หนังสือพัฒนาตัวเอง #books
ริว,7571404403677089032,2025-11-11,BOXSET The Witches' Club ชมรมลับเปลี่ยนชีวิต,13281.59,25,10740.62,1.24,30 Boxset สุดท้าย รีบสั่งก่อน sold out ‼️ ที่บอกเลยว่าของแถมเยอะและดีมาก ๆ ทั้งไพ่ทำนายดวง ที่คั่นหนังสือ สติกเกอร์และถุงกำมะหยี่แบบนี้🤩 กับหนังสือฮีลใจเปลี่ยนชีวิต The Witches’ Club 🐱ที่เขาพูดถึงกฎการใช้ชีวิตที่จะทำให้เรามีความสุขได้ด้วยตัวเอง และเปลี่ยนปัญหาที่เราหาทางออกไม่ได้ให้เป็นความสุขเหมือนพลังวิเศษ✨ ซึ่งอ่านแล้วอาจจะทำให้คุณเสียน้ำตา แต่จะทำให้เห็นคุณค่าในตัวเองมากขึ้น บอกเลยว่าต้องมีน้ำตาไหลกันบ้างแหละ รีบสั่งซื้อได้เลยตอนนี้ราคาพิเศษก่อนหมดนะ สนใจพิกัดหน้าคลิปเลยหรือสนใจทักแชตหรือคอมเมนต์สนใจใต้โพสต์ได้เลย🥳🤍 #opendurianhowto #opendurianbooks #หนังสือพัฒนาตัวเอง #books #TheWitchesClub
ริว,7522794467896790280,2025-07-03,[สุดคุ้ม] หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fight the Demons in My Heart,12499.73,45,5317.05,2.35,วันที่ความกลัวชนะทุกอย่าง…คือวันที่เราหยุดเชื่อว่า การเปลี่ยนแปลงจะพาเราไปเจออะไรที่ดีกว่า 😭 #opendurianhowto #opendurianbooks #หนังสือพัฒนาตัวเอง #หนังสือฮีลใจ #ปีศาจตัวนั้นคือฉันเอง #หนังสือขายดี #MAYI #เมไอ #ฮีลใจ #พัฒนาตัวเอง
ริว,7561394886566628626,2025-10-15,[หนังสือ] ปีศาจตัวนั้น คือฉันเอง 2 A Guide to Overcoming the Return of the Demons,10639.85,37,4399.77,2.42,30 เล่มสุดท้าย รีบสั่งก่อน sold out‼️ กับหนังสือฮีลใจแห่งปี ปีศาจตัวนั้นคือฉันเอง 2 เขาพูดถึงปีศาจที่คอยสร้างพลังลบให้เราอยู่เสมอ แต่จริง ๆ แล้วปีศาจตัวนั้นคือตัวเราเอง ซึ่งอ่านแล้วอาจจะทำให้คุณเสียน้ำตา แต่จะทำให้เห็นคุณค่าในตัวเองมากขึ้น บอกเลยว่าต้องมีน้ำตาไหลกันบ้างแหละ สั่งซื้อได้เลยตอนนี้ราคาพิเศษก่อนหมดนะ สนใจพิกัดหน้าคลิปเลย #OpenDurianHowTo #OpenDurianBooks #ปีศาจตัวนั้นคือฉันเอง2 #MAYI #books 
มิ้น,7549115357982690577,2025-09-12,[หนังสือ] ปีศาจตัวนั้น คือฉันเอง 2 A Guide to Overcoming the Return of the Demons,9360.82,29,1266.15,7.43,ตอบกลับ @RYU   📌ใครอยากรู้ต่างกันยังไง ดูคลิปนี้ได้เลย 🔥 #opendurianhowto #ปีศาจตัวนั้นคือฉันเอง2 #books #หนังสือฮีลใจ #หนังสือพัฒนาตัวเอง 
ไม่ระบุ,7526148650699869461,2025-07-12,หนังสือ Ghostly Brews ยินดีบริการดวงวิญญาณหลังเที่ยงคืน by หมึกซึม,6618.21,24,5816.6,1.13,แด่มนุษย์ที่โดดเดี่ยวและผิดหวัง  :) #opendurianhowto #ghostlybrews #หนังสือฮีลใจ #หมึกซึม #books #opendurianbooks #เล่มใหม่ 
