content_id,date_planned,creator,content_format,content_objective,product,is_cover,key_message,idea_brief,status,published_date,roas_7d,fb_ad_name,fb_post_link,tiktok_link,tiktok_video_id
HTW-FEB26-001,2026-02-23,มิ้น,VDO,Sale,กับดักความรู้สึกผิด,No,5 วิธีรับมือกับ “ความรู้สึกผิด”,,Planned,,,[25.02.26][มิ้น] 5 วิธีรับมือกับ “ความรู้สึกผิด” (Trap),,https://www.tiktok.com/@opendurianhowto/video/7610252451710651669?_r=1&_t=ZS-94ClwSqCL9l,7610252451710651669
HTW-FEB26-002,2026-02-23,มิ้น,VDO,Promotion,All Product,No,- TikTok PayDay รอโปรโมชัน -,,Planned,,,,,https://www.tiktok.com/@opendurianhowto/video/7610399022284639509?_r=1&_t=ZS-94Clu45miR6,7610399022284639509
HTW-FEB26-003,2026-02-23,ริว,VDO,Engage,ปีศาจตัวนั้น คือฉันเอง 2,Yes,ริวควรอ่าน,,Planned,,,.,https://www.facebook.com/reel/1447843697043864,https://www.tiktok.com/@opendurianhowto/video/7610003331217362197?_r=1&_t=ZS-949thVez2w8,7610003331217362197
HTW-FEB26-004,2026-02-23,ริว,VDO,Live,All Product,No,เงินใกล้หมด แต่ใจอยากช้อป มาทางนี้,,Planned,,,.,https://www.facebook.com/reel/1236237898723445,https://www.tiktok.com/@opendurianhowto/video/7610355150896516373?_r=1&_t=ZS-94BbZBl0r5w,7610355150896516373
HTW-FEB26-005,2026-02-23,หมิว,IMG,Live,All Product,No,Element Live TikTok,,Cancelled,,,,,,#N/A
HTW-FEB26-006,2026-02-23,หมิว,IMG,Live,All Product,No,เฮงเฮงท้ายเดือน ลดยกไลฟ์เริ่มต้นเล่มละ 99.-,Promote Live Theme ควันหลงตรุษจีน,Published,2026-02-24,,.,https://www.facebook.com/opendurianhowto/posts/pfbid0edXGsBDGaGAyS8xiTtLqLnHtZmd8mVnihNPmwNqeH5D9jhhP9JoyjqV2W1A7TgM5l,-,#N/A
HTW-FEB26-007,2026-02-24,มิ้น,VDO,Sale,ปีศาจตัวนั้น คือฉันเอง,Yes,ร้องไห้เป็นสิบ ๆ ครั้งก็ยังใช้ชีวิตต่อได้,เน้นปีศาจความรัก รีเลทปิดเดือนวาเลนไทน์ รีแคปประโยคจากหนังสือ https://vt.tiktok.com/ZSmUJ3vEr/,Planned,,,,,https://www.tiktok.com/@opendurianhowto/video/7610395498893053205?_r=1&_t=ZS-94Cm11PrQyP,7610395498893053205
HTW-FEB26-008,2026-02-24,ริว,VDO,Engage,โอบกอดความไม่สมบูรณ์แบบของเธอ,Yes,หนังสือถึงคนที่แตกสลาย,ริวถึงคนแตกสลาย,Planned,,,.,https://www.facebook.com/reel/1952811801978256,https://www.tiktok.com/@opendurianhowto/video/7610360649511619861?_r=1&_t=ZS-94BcCalgfx7,7610360649511619861
HTW-FEB26-009,2026-02-24,หมิว,IMG,Engage,กับดักความรู้สึกผิด,No,Q&A พบหมอทานตะวัน,,Published,2026-02-25,,[25.02.26][หมิว] Q&A พบหมอทานตะวัน (Trap),https://www.facebook.com/opendurianhowto/posts/pfbid0edXGsBDGaGAyS8xiTtLqLnHtZmd8mVnihNPmwNqeH5D9jhhP9JoyjqV2W1A7TgM5l,-,
HTW-FEB26-010,2026-02-24,หมิว,IMG,Sale,กับดักความรู้สึกผิด,No,รีสต็อกหนังสือฉบับลายเซ็น,,Planned,,,[01.03.26][หมิว] รีสต็อกหนังสือฉบับลายเซ็น (Trap),,-,#N/A
HTW-FEB26-011,2026-02-25,มิ้น,VDO,Sale,ปีศาจตัวนั้น คือฉันเอง 2,Yes,หนังสือที่ 'ก้อย' กับ 'พิธา' ไม่ได้อ่าน !! แต่โคตรดี,Insert ภาพก้อยทิมเพื่อเล่มกระแส และโยงเข้าหนังสือเราว่าเขาพลาดมากนะ Mood Joy,Published,,,.,https://www.facebook.com/reel/1278929434100611,https://www.tiktok.com/@opendurianhowto/video/7610765057516915989?_r=1&_t=ZS-94DOwq8E8af,7610765057516915989
