month,creator,ad_date,content_name,product,platform,reach,impressions,spend_thb,purchases,revenue_thb,roas,cpm_thb,cpa_thb,clicks,ctr,v2s,v6s,ad_variants,hit_roas
Feb26,มิ้น,2025-02-11,สัมภาษณ์คุณปั๊ม คิ้วต่ำ,Kiwtum,Meta,70750,115886,7285.95,49.0,23836.0,3.27,62.87,148.69,,,,,28,ผ่าน
Feb26,มิ้น,2025-05-22,จะเป็นยังไง! เมื่อคนที่หมดแพชชัน  ต้องไปเป็นที่ปรึกษาให้เหล่าดวงวิญญาณ,Ghostly Brews,Meta,10100,11545,537.47,0.0,0.0,0.0,46.55,,,,,,16,ไม่มียอดขาย
Feb26,มิ้น,2025-07-23,อ่านแล้วหายเหนื่อย,เหนื่อยมากไหม พักก่อนก็ได้นะ,Meta,67383,105404,3989.82,25.0,11883.0,2.98,37.85,159.59,,,,,16,ผ่าน
Feb26,มิ้น,2025-10-29,2 หนังสือเรียกน้ำตา,Ghostly Remains,Meta,262934,327068,11783.01,21.0,14880.0,1.26,36.03,561.1,,,,,20,ไม่ผ่าน
Feb26,มิ้น,2025-11-10,ป้ายยาหนังสือ 7 เล่ม,All Product,Meta,63620,69772,606.35,0.0,0.0,0.0,8.69,,,,,,3,ไม่มียอดขาย
Feb26,มิ้น,2025-11-20,E-Book หนังสือปีศาจ 1,All Product,Meta,4623,5691,599.01,1.0,579.0,0.97,105.26,599.01,,,,,4,ไม่ผ่าน
Feb26,มิ้น,2025-12-03,น้ำตาซึมไปหลายวัน,Ghostly Remains,Meta,17540,24563,1380.67,0.0,0.0,0.0,56.21,,,,,,6,ไม่มียอดขาย
Feb26,มิ้น,2025-12-03,เล่มนี้ทำน้ำตาไหลหนักมาก,Ghostly Brews,Meta,52604,68318,4510.54,15.0,8956.0,1.99,66.02,300.7,,,,,11,ไม่ผ่าน
Feb26,มิ้น,2025-12-24,ดวงสมพงษ์กัน,The Witches' Club,Meta,3360,4165,589.25,1.0,409.0,0.69,141.48,589.25,,,,,5,ไม่ผ่าน
Feb26,มิ้น,2026-01-16,แนะนำหนังสือฟีลเพื่อน,The Witches' Club,Meta,1619,1938,150.66,1.0,499.0,3.31,77.74,150.66,,,,,1,ผ่าน
Feb26,มิ้น,2026-01-22,5 สิ่งที่ทำได้เลย,กับดักความรู้สึกผิด,Meta,14280,19918,2665.39,5.0,2395.0,0.9,133.82,533.08,,,,,2,ไม่ผ่าน
Feb26,มิ้น,2026-01-23,บางคนตายไป,Ghostly Brews,Meta,217347,274353,4441.77,4.0,2587.0,0.58,16.19,1110.44,,,,,6,ไม่ผ่าน
Feb26,มิ้น,2026-01-23,หนังสือที่อยากให้อ่าน 2026,Ghostly Brews,Meta,1119,1224,141.35,0.0,0.0,0.0,115.48,,,,,,2,ไม่มียอดขาย
Feb26,มิ้น,2026-01-26,บางเรื่องในชีวิตต่อให้เราพยายามลืมแค่ไหน,Ghostly Remains,Meta,4713,6568,496.17,0.0,0.0,0.0,75.54,,,,,,1,ไม่มียอดขาย
Feb26,มิ้น,2026-01-26,หนังสือที่ได้ไปต่อในปี 2026,Ghostly Remains,Meta,31785,35206,618.21,0.0,0.0,0.0,17.56,,,,,,3,ไม่มียอดขาย
Feb26,มิ้น,2026-01-29,Unboxing หนังสือเล่มแรกของปี 2026,กับดักความรู้สึกผิด,Meta,60792,108259,13991.83,37.0,27470.0,1.96,129.24,378.16,,,,,10,ไม่ผ่าน
Feb26,มิ้น,2026-01-30,โดนตกเพราะกล่อง,The Witches' Club,Meta,2325,3060,172.37,0.0,0.0,0.0,56.33,,,,,,1,ไม่มียอดขาย
Feb26,มิ้น,2026-02-04,มนุษย์ที่เป็นคนดี,กับดักความรู้สึกผิด,Meta,1005189,1481568,98053.5,494.0,230113.0,2.35,66.18,198.49,,,,,24,ไม่ผ่าน
Feb26,มิ้น,2026-02-04,มนุษย์ที่เป็นคนดี (สัมภาษณ์หมอ),กับดักความรู้สึกผิด,Meta,64274,82929,3853.84,14.0,4974.0,1.29,46.47,275.27,,,,,3,ไม่ผ่าน
Feb26,มิ้น,2026-02-04,หมึกซึม รางวัลนายอินทร์,Ghostly Brews,Meta,9656,10208,93.5,0.0,0.0,0.0,9.16,,,,,,1,ไม่มียอดขาย
Feb26,มิ้น,2026-02-06,รักกันอยู่ แต่ไม่เห็นอนาคตร่วมกัน,Garden,Meta,12684,24497,485.18,0.0,0.0,0.0,19.81,,,,,,1,ไม่มียอดขาย
Feb26,มิ้น,2026-02-10,ชนแล้วหนี,Ghostly Remains,Meta,10241,14002,1087.77,0.0,0.0,0.0,77.69,,,,,,2,ไม่มียอดขาย
Feb26,มิ้น,2026-02-12,5/5 ยกให้เป็นหนังสือ,เหนื่อยมากไหม พักก่อนก็ได้นะ,Meta,6330,7865,541.96,0.0,0.0,0.0,68.91,,,,,,1,ไม่มียอดขาย
Feb26,มิ้น,2026-02-12,คนดีชอบแบกความคาดหวัง,กับดักความรู้สึกผิด,Meta,20057,27082,4010.59,13.0,5567.0,1.39,148.09,308.51,,,,,1,ไม่ผ่าน
Feb26,มิ้น,2026-02-12,ความผิดหวัง,The Witches' Club,Meta,9675,11564,1273.53,2.0,998.0,0.78,110.13,636.76,,,,,2,ไม่ผ่าน
Feb26,มิ้น,2026-02-17,20 เล่มลายเซ็น,กับดักความรู้สึกผิด,Meta,253737,425005,34654.49,166.0,75852.0,2.19,81.54,208.76,,,,,14,ไม่ผ่าน
Feb26,มิ้น,2026-02-18,2 หนังสือการ์ตูน Comic,Ghostly Remains,Meta,6230,8719,470.92,0.0,0.0,0.0,54.01,,,,,,1,ไม่มียอดขาย
Feb26,มิ้น,2026-02-23,People Pleaser,กับดักความรู้สึกผิด,Meta,5193,6212,1219.85,4.0,1514.0,1.24,196.37,304.96,,,,,1,ไม่ผ่าน
Feb26,มิ้น,2026-02-24,แมวที่เก็บมาเลี้ยงหายไป,Ghostly Brews,Meta,8610,10935,1019.82,1.0,629.0,0.62,93.26,1019.82,,,,,2,ไม่ผ่าน
Feb26,มิ้น,2026-02-25,5 วิธีรับมือกับ “ความรู้สึกผิด”,กับดักความรู้สึกผิด,Meta,3976,5262,939.42,1.0,718.0,0.76,178.53,939.42,,,,,1,ไม่ผ่าน
Feb26,มิ้น,2026-02-25,ถ้าคุณมีโอกาสได้เจอ,กับดักความรู้สึกผิด,Meta,3465,5007,876.29,1.0,379.0,0.43,175.01,876.29,,,,,1,ไม่ผ่าน
Feb26,มิ้น,2025-08-05,สัมเมไอ,,TikTok,0,0,0.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,ไม่มียอดขาย
Feb26,มิ้น,2025-08-11,ชีวิตคือการทดลอง,,TikTok,6181,6181,103.39,4.0,339.0,3.35,16.73,155.0,259.0,0.04,0.36,0.14,1,ผ่าน
Feb26,มิ้น,2025-08-13,ประโยคที่คอยดึงสติ,,TikTok,2652,2652,12.65,4.0,326.95,25.91,4.77,58.0,37.0,0.01,0.15,0.05,1,ผ่าน
