ชื่อโฆษณา,"ID โฆษณา",วัน,สถานะการแสดงโฆษณา,ระดับการแสดงโฆษณา,ประเภทผลลัพธ์,ผลลัพธ์,ต้นทุนต่อผลลัพธ์,ค่าคอนเวอร์ชั่นการซื้อ,"จำนวนเงินที่ใช้จ่ายไป (THB)","ROAS (ผลตอบแทนจากค่าใช้จ่ายในการโฆษณา) ของการซื้อ",อิมเพรสชัน,การเข้าถึง,การซื้อ,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,ต้นทุนต่อการเริ่มการสนทนาผ่านการส่งข้อความ,คำสั่งซื้อที่สร้างขึ้น,การคลิกลิงก์,"CTR (ทั้งหมด)","CPM (ต้นทุนต่ออิมเพรสชั่น 1,000 ครั้ง)","%CVR (META)",เริ่มการรายงาน,สิ้นสุดการรายงาน
,,,,,mixed,,,19955,19504.68,1.02308779,210814,120579,48,127,153.58015748,56,829,3.45565285,92.52080033,0.37795276,2026-05-01,2026-05-04
"[21.09.24] [มิ้น] คนเราแตกสลายได้กี่ครั้ง",120215811548360260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[21.09.24] [มิ้น] คนเราแตกสลายได้กี่ครั้ง",120216713189210260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[13.06.25][มิ้น] หนังสือที่น่าซื้อที่สุดในปฐพี (Witches)",120230769406070260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[17.09.25][มิ้น] การมีชีวิตที่โดดเดี่ยว (Ghostly)",120237845256810260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[12.08.25][มิ้น] ควรอ่านเล่มนี้ถ้าคุณ (Witches)",120235148632120260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[03.09.25][มิ้น] หนังเล่มใหม่ที่อานแล้วน้ำตาซึม (Demons)",120236324479760260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[21.09.24] [มิ้น] คนเราแตกสลายได้กี่ครั้ง",120215723178940260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[23.05.25][มิ้น] Payday May (Promotion_Payday)",120229263233770260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[02.06.25][มิ้น] หนังสือที่ดูดวงได้ (Witches)",120229859418130260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[20.08.25][มิ้น] ประโยคที่อ่านแล้วน้ำตาซึม (ปีศาจตัวนั้น)",120235258962660260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[02.06.25][มิ้น] รีแอค ขมิ้น (Ghostly)",120232523446420260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[25.07.25][มิ้น] ข้อความแรกของวัน (Kiwtum)",120233512263340260,2026-05-04,archived,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[08.07.25][มิ้น] หนังสือทะเล (Embrace)",120234400134080260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[03.09.25][มิ้น] หนังเล่มใหม่ที่อานแล้วน้ำตาซึม (Demons)",120236358963740260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[02.09.24] [มิ้น] 5 ข้อคิดลบกับตัวเอง (Helmet_Boxset)",120215258457330260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[12.11.24] [มิ้น] 2 หนังสือเล่มใหม่ที่ถูกเขียนด้วยน้ำตา แพ็กคู่ 529",120216989642050260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[17.08.24] [มิ้น] เหนื่อยแค่ไหนก็ฮีลใจตัวเองเป็น",120214814651560260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[21.09.24] [มิ้น] คนเราแตกสลายได้กี่ครั้ง",120217554942560260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[22.08.25][มิ้น] 3 เหตุผล ที่ต้องอ่าน (Ghostly)",120235868586480260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[10.01.25] [มิ้น] หากคุณกำลังแตกสลาย (Embrace)",120218485516510260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[07.08.25][มิ้น] เล่มใหม่ล่าสุด (Tried)",120234506727130260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[22.07.25][มิ้น] 5 สัญญาณที่บอกว่าเราเครียด (Tried)",120233222467930260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[30.03.25][มิ้น] แกล้งทำเป็นมั่นใจ (Witches)",120223303945480260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[07.10.25][มิ้น] ชอบคนใจดี (Ghostly)",120239036662700260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[09.09.25][มิ้น] วันนี้เหนื่อยใช่ไหม (Tried)",120236547035940260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[11.02.25][มิ้น] สัมภาษณ์คุณปั๊ม คิ้วต่ำ (Kiwtum)",120221329463410260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[15.10.24] [มิ้น] จุดเปลี่ยนของชีวิต (Life)",120216294310900260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[22.05.25][มิ้น] จะเป็นยังไง! เมื่อคนที่หมดแพชชัน  ต้องไปเป็นที่ปรึกษาให้เหล่าดวงวิญญาณ (Ghostly)",120229087924610260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[07.03.25][มิ้น] สัมภาษณ์คุณเม เล่มใหม่ล่าสุด (Witches)",120222165219910260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[04.12.24] [มิ้น] 5 เทคนิคเก็บเงินง่ายๆ (Million)",120217524655750260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
