month,creator,ad_date,content_name,content_format,product,platform,reach,impressions,spend_thb,purchases,revenue_thb,roas,roas_target,cpm_thb,cpa_thb,clicks,ctr,messages,v2s,v6s,ad_variants,hit_roas,is_new,launch_date
Apr26,หมิว,2026-04-08,[08.04.26][หมิว] ปีศาจที่หนีความมืดในใจ (Demons),IMG,Demons,Meta,42,43,1.48,0,0.0,0.0,1.8,34.42,0.0,4,9.3023,0,0,0,1,ไม่มียอดขาย,False,
Apr26,หมิว,2026-04-08,[08.04.26][หมิว] พยายามแทบตาย (Demons),IMG,Demons,Meta,847,955,20.18,0,0.0,0.0,1.8,21.13,0.0,78,8.1675,0,0,0,1,ไม่มียอดขาย,False,
Apr26,หมิว,2026-04-08,[08.04.26][หมิว] ในอดีตเราอาจเคยล้มมาก่อน (Demons),IMG,Demons,Meta,428,467,13.89,0,0.0,0.0,1.8,29.74,0.0,27,5.7816,0,0,0,1,ไม่มียอดขาย,False,
Apr26,หมิว,2026-04-09,[08.04.26][หมิว] ปีศาจที่หนีความมืดในใจ (Demons),IMG,Demons,Meta,21,22,0.6,0,0.0,0.0,1.8,27.27,0.0,1,4.5455,0,0,0,1,ไม่มียอดขาย,False,
Apr26,หมิว,2026-04-09,[08.04.26][หมิว] พยายามแทบตาย (Demons),IMG,Demons,Meta,2149,2309,39.9,0,0.0,0.0,1.8,17.28,0.0,300,12.9926,0,0,0,1,ไม่มียอดขาย,False,
Apr26,หมิว,2026-04-09,[08.04.26][หมิว] ในอดีตเราอาจเคยล้มมาก่อน (Demons),IMG,Demons,Meta,262,272,5.75,0,0.0,0.0,1.8,21.14,0.0,23,8.4559,0,0,0,1,ไม่มียอดขาย,False,
Apr26,หมิว,2026-04-10,[08.04.26][หมิว] ปีศาจที่หนีความมืดในใจ (Demons),IMG,Demons,Meta,34,35,1.67,0,0.0,0.0,1.8,47.71,0.0,4,11.4286,0,0,0,1,ไม่มียอดขาย,False,
Apr26,หมิว,2026-04-10,[08.04.26][หมิว] ในอดีตเราอาจเคยล้มมาก่อน (Demons),IMG,Demons,Meta,866,1025,30.1,0,0.0,0.0,1.8,29.37,0.0,83,8.0976,0,0,0,1,ไม่มียอดขาย,False,
Apr26,หมิว,2026-04-11,[08.04.26][หมิว] พยายามแทบตาย (Demons),IMG,Demons,Meta,415,418,12.12,0,0.0,0.0,1.8,29.0,0.0,55,13.1579,0,0,0,1,ไม่มียอดขาย,False,
Apr26,หมิว,2026-04-11,[08.04.26][หมิว] ในอดีตเราอาจเคยล้มมาก่อน (Demons),IMG,Demons,Meta,1582,1773,49.17,0,0.0,0.0,1.8,27.73,0.0,106,5.9786,0,0,0,1,ไม่มียอดขาย,False,
